Date,State,District,Pincode,Bio_age_5_17,Bio_age_17+
01-03-2025,Kerala,Malappuram,676320,107,85
01-03-2025,Kerala,Ernakulam,682018,33,77
01-03-2025,Uttar Pradesh,Ambedkar Nagar,224186,174,174
01-03-2025,Maharashtra,Wardha,442202,168,427
01-03-2025,Rajasthan,Bikaner,331803,506,705
01-03-2025,Uttar Pradesh,Jhansi,284419,330,144
01-03-2025,Rajasthan,Udaipur,313206,109,53
01-03-2025,Karnataka,Mysore,571107,30,65
01-03-2025,Kerala,Kasaragod,671310,78,123
01-03-2025,Odisha,Khorda,752021,170,296
01-03-2025,West Bengal,Kolkata,700054,87,193
01-03-2025,Rajasthan,Alwar,301027,157,244
01-03-2025,Himachal Pradesh,Mandi,175038,123,164
01-03-2025,Punjab,Jalandhar,144005,219,366
01-03-2025,Himachal Pradesh,Hamirpur,177044,28,19
01-03-2025,Karnataka,Dharwad,580002,80,73
01-03-2025,Telangana,Karimnagar,505326,81,135
01-03-2025,Telangana,Karimnagar,505469,91,157
01-03-2025,Jammu and Kashmir,Anantnag,192129,51,100
01-03-2025,Andhra Pradesh,Visakhapatnam,531023,120,59
01-03-2025,Gujarat,Anand,387115,29,32
01-03-2025,Uttar Pradesh,Amethi,229310,133,58
01-03-2025,West Bengal,Murshidabad,742237,121,136
01-03-2025,Assam,Udalguri,784508,109,45
01-03-2025,West Bengal,South 24 Parganas,743377,106,100
01-03-2025,Telangana,Khammam,507318,19,23
01-03-2025,Gujarat,Vadodara,391530,90,120
01-03-2025,Andhra Pradesh,East Godavari,533221,191,60
01-03-2025,Gujarat,Surat,394240,41,33
01-03-2025,Maharashtra,Mumbai Suburban,400061,53,90
01-03-2025,West Bengal,North 24 Parganas,700101,26,62
01-03-2025,Karnataka,Raichur,584170,54,78
01-03-2025,Odisha,Kendrapara,754207,10,58
01-03-2025,Karnataka,Bengaluru,560003,95,155
01-03-2025,Jharkhand,Seraikela-Kharsawan,833101,71,118
01-03-2025,Chhattisgarh,Jashpur,496220,63,194
01-03-2025,Gujarat,Ahmedabad,380055,187,363
01-03-2025,Telangana,K.v. Rangareddy,500058,111,166
01-03-2025,Kerala,Ernakulam,683546,35,118
01-03-2025,West Bengal,Jalpaiguri,736207,21,27
01-03-2025,Maharashtra,Mumbai,400009,56,158
01-03-2025,Gujarat,Kheda,387710,46,79
01-03-2025,Punjab,Patiala,140601,42,52
01-03-2025,Jammu and Kashmir,Bandipore,193501,345,691
01-03-2025,Punjab,Jalandhar,144104,17,44
01-03-2025,West Bengal,Nadia,741140,68,111
01-03-2025,Maharashtra,Jalgaon,425115,86,141
01-03-2025,Himachal Pradesh,Shimla,171019,27,24
01-03-2025,Madhya Pradesh,Gwalior,474002,114,126
01-03-2025,Punjab,Patiala,147104,18,81
01-03-2025,Karnataka,Bellary,583129,50,79
01-03-2025,West Bengal,Darjeeling,734227,11,13
01-03-2025,Madhya Pradesh,Jabalpur,482056,53,94
01-03-2025,Punjab,Shaheed Bhagat Singh Nagar,144501,35,54
01-03-2025,Haryana,Yamunanagar,135001,14,90
01-03-2025,Bihar,Patna,804423,19,60
01-03-2025,Kerala,Ernakulam,683576,42,99
01-03-2025,Sikkim,North Sikkim,737116,39,24
01-03-2025,Tamil Nadu,Thanjavur,614303,36,34
01-03-2025,Chhattisgarh,Durg,491226,13,76
01-03-2025,Kerala,Ernakulam,683501,31,95
01-03-2025,Uttarakhand,Chamoli,246429,35,54
01-03-2025,Karnataka,Udupi,576223,11,12
01-03-2025,Maharashtra,Pune,412405,44,23
01-03-2025,Himachal Pradesh,Mandi,175034,21,36
01-03-2025,Andhra Pradesh,Ananthapuramu,515321,163,5
01-03-2025,Uttar Pradesh,Gorakhpur,273003,22,56
01-03-2025,Punjab,Amritsar,143104,23,29
01-03-2025,Maharashtra,Solapur,413108,45,70
01-03-2025,Odisha,Cuttack,754293,54,92
01-03-2025,Karnataka,Kolar,563134,45,118
01-03-2025,West Bengal,East Midnapore,721440,15,28
01-03-2025,Maharashtra,Raigarh,402309,20,48
01-03-2025,Uttar Pradesh,Moradabad,244413,15,26
01-03-2025,Tamil Nadu,Mayiladuthurai,609117,19,5
01-03-2025,Assam,Sonitpur,784112,40,22
01-03-2025,West Bengal,Jalpaiguri,735140,10,5
01-03-2025,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,396230,88,261
01-03-2025,Tamil Nadu,Tiruvallur,600052,637,819
01-03-2025,Gujarat,Rajkot,360006,185,236
01-03-2025,Maharashtra,Nandurbar,425452,244,617
01-03-2025,Maharashtra,Pune,412308,217,379
01-03-2025,Madhya Pradesh,Indore,453220,131,147
01-03-2025,Gujarat,Panchmahals,389210,387,1337
01-03-2025,Maharashtra,Nagpur,440030,120,395
01-03-2025,Odisha,Bargarh,768029,315,515
